code_postal,nom,code_insee,latitude,longitude,code_departement,nom_departement,code_region,nom_region
1350,Cressin-Rochefort,1133,45.7826434885,5.76546256637,1,Ain,84,Auvergne-Rhône-Alpes
1290,Crottet,1134,46.283072336,4.87747971182,1,Ain,84,Auvergne-Rhône-Alpes
1750,Crottet,1134,46.283072336,4.87747971182,1,Ain,84,Auvergne-Rhône-Alpes
1170,Crozet,1135,46.2915659686,5.99510417092,1,Ain,84,Auvergne-Rhône-Alpes
1290,Cruzilles-lès-Mépillat,1136,46.2220588715,4.8752193513,1,Ain,84,Auvergne-Rhône-Alpes
1350,Culoz,1138,45.8559966843,5.78398308932,1,Ain,84,Auvergne-Rhône-Alpes
1560,Curciat-Dongalon,1139,46.4885456881,5.16344336837,1,Ain,84,Auvergne-Rhône-Alpes
1310,Curtafond,1140,46.273150382,5.1020896267,1,Ain,84,Auvergne-Rhône-Alpes
1300,Cuzieu,1141,45.8200002803,5.6765554896,1,Ain,84,Auvergne-Rhône-Alpes
1120,Dagneux,1142,45.8531616918,5.07289166803,1,Ain,84,Auvergne-Rhône-Alpes
1220,Divonne-les-Bains,1143,46.3756333495,6.1158647611,1,Ain,84,Auvergne-Rhône-Alpes
1380,Dommartin,1144,46.33627762,4.99863894,1,Ain,84,Auvergne-Rhône-Alpes
1240,Dompierre-sur-Veyle,1145,46.0667883703,5.21665199666,1,Ain,84,Auvergne-Rhône-Alpes
1400,Dompierre-sur-Chalaronne,1146,46.1415406621,4.90141714714,1,Ain,84,Auvergne-Rhône-Alpes
1270,Domsure,1147,46.4244066427,5.29313479651,1,Ain,84,Auvergne-Rhône-Alpes
1590,Dortan,1148,46.3133221173,5.64146584117,1,Ain,84,Auvergne-Rhône-Alpes
1500,Douvres,1149,45.984297392,5.37106901673,1,Ain,84,Auvergne-Rhône-Alpes
1250,Drom,1150,46.2196603059,5.36799994918,1,Ain,84,Auvergne-Rhône-Alpes
1160,Druillat,1151,46.067579544,5.29361666429,1,Ain,84,Auvergne-Rhône-Alpes
1130,Échallon,1152,46.2271364137,5.73330448395,1,Ain,84,Auvergne-Rhône-Alpes
1170,Échenevex,1153,46.3160845207,6.01926187996,1,Ain,84,Auvergne-Rhône-Alpes
1340,Étrez,1154,46.3380891758,5.19286414645,1,Ain,84,Auvergne-Rhône-Alpes
1230,Évosges,1155,45.965147537,5.50283599885,1,Ain,84,Auvergne-Rhône-Alpes
1800,Faramans,1156,45.9104942091,5.1249258559,1,Ain,84,Auvergne-Rhône-Alpes
1480,Fareins,1157,46.020997974,4.7620080898,1,Ain,84,Auvergne-Rhône-Alpes
1550,Farges,1158,46.166230455,5.90019477201,1,Ain,84,Auvergne-Rhône-Alpes
1570,Feillens,1159,46.3365833672,4.88507050971,1,Ain,84,Auvergne-Rhône-Alpes
1210,Ferney-Voltaire,1160,46.2519789243,6.10826403805,1,Ain,84,Auvergne-Rhône-Alpes
1350,Flaxieu,1162,45.8113298005,5.74459048839,1,Ain,84,Auvergne-Rhône-Alpes
1340,Foissiat,1163,46.3784759782,5.18483641417,1,Ain,84,Auvergne-Rhône-Alpes
